root@xw607_dz_ap0002_v4:/data/python_files/bin # lsof
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
dji_sys     245       root   20       ???                ???       ???        ??? socket:[3789]
dji_black   247       root  exe       ???                ???       ???        ??? /system/bin/dji_blackbox
dji_black   247       root    0       ???                ???       ???        ??? /dev/null
dji_black   247       root    1       ???                ???       ???        ??? /dev/null
dji_black   247       root    2       ???                ???       ???        ??? /dev/null
dji_black   247       root    3       ???                ???       ???        ??? /dev/log/main
dji_black   247       root    4       ???                ???       ???        ??? /dev/log/radio
dji_black   247       root    5       ???                ???       ???        ??? /dev/log/events
dji_black   247       root    6       ???                ???       ???        ??? /dev/log/system
dji_black   247       root    7       ???                ???       ???        ??? socket:[3306]
dji_black   247       root    8       ???                ???       ???        ??? /dev/__properties__
dji_black   247       root    9       ???                ???       ???        ??? socket:[3307]
dji_black   247       root   11       ???                ???       ???        ??? /blackbox/gimbal/GIMBAL019.DAT
dji_black   247       root   12       ???                ???       ???        ??? /blackbox/armor1/ARMOR1017.DAT
dji_black   247       root   13       ???                ???       ???        ??? /blackbox/armor2/ARMOR2017.DAT
dji_black   247       root   14       ???                ???       ???        ??? /blackbox/armor3/ARMOR3017.DAT
dji_black   247       root   15       ???                ???       ???        ??? /blackbox/armor4/ARMOR4017.DAT
dji_black   247       root   16       ???                ???       ???        ??? /blackbox/armor5/ARMOR5017.DAT
dji_black   247       root   17       ???                ???       ???        ??? /blackbox/armor6/ARMOR6017.DAT
dji_black   247       root   18       ???                ???       ???        ??? /blackbox/gamesystem/GAMESYSTEM017.DAT
dji_black   247       root   19       ???                ???       ???        ??? /blackbox/gun/GUN017.DAT
dji_black   247       root   20       ???                ???       ???        ??? /blackbox/camera/CAMERA017.DAT
dji_black   247       root   21       ???                ???       ???        ??? /blackbox/vision/VISION017.DAT
dji_black   247       root   22       ???                ???       ???        ??? /blackbox/scratch_sys/SCRATCH_SYS017.DAT
dji_black   247       root   23       ???                ???       ???        ??? /blackbox/scratch_script/SCRATCH_SCRIPT017.DAT
dji_black   247       root   24       ???                ???       ???        ??? /blackbox/chassis/CHASSIS017.DAT
dji_black   247       root   25       ???                ???       ???        ??? /blackbox/network/NETWORK017.DAT
dji_black   247       root   26       ???                ???       ???        ??? /blackbox/dji_system/SYSTEM017.DAT
dji_black   247       root   27       ???                ???       ???        ??? /blackbox/stick/STICK017.DAT
dji_black   247       root   28       ???                ???       ???        ??? /system/etc/dji.json
dji_black   247       root   29       ???                ???       ???        ??? socket:[3894]
dji_visio   249       root  exe       ???                ???       ???        ??? /system/bin/dji_vision
dji_visio   249       root    0       ???                ???       ???        ??? /dev/null
dji_visio   249       root    1       ???                ???       ???        ??? /dev/null
dji_visio   249       root    2       ???                ???       ???        ??? /dev/null
dji_visio   249       root    3       ???                ???       ???        ??? /dev/log/main
dji_visio   249       root    4       ???                ???       ???        ??? /dev/log/radio
dji_visio   249       root    5       ???                ???       ???        ??? /dev/log/events
dji_visio   249       root    6       ???                ???       ???        ??? /dev/log/system
dji_visio   249       root    7       ???                ???       ???        ??? socket:[4097]
dji_visio   249       root    8       ???                ???       ???        ??? /dev/__properties__
dji_visio   249       root    9       ???                ???       ???        ??? socket:[4098]
dji_visio   249       root   11       ???                ???       ???        ??? /dev/ion
dji_visio   249       root   12       ???                ???       ???        ??? /dev/ion
dji_visio   249       root   13       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   14       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   15       ???                ???       ???        ??? /dev/mem
dji_visio   249       root   16       ???                ???       ???        ??? /data/vision/cnn_model/cnn_model_version
dji_visio   249       root   17       ???                ???       ???        ??? /dev/on2psm
dji_visio   249       root   18       ???                ???       ???        ??? /dev/on2map
dji_visio   249       root   19       ???                ???       ???        ??? /dev/hx280enc_h1
dji_visio   249       root   20       ???                ???       ???        ??? /dev/ion
dji_visio   249       root   21       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   22       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   23       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   24       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   25       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   26       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   27       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   28       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   29       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   30       ???                ???       ???        ??? /dev/on2psm
dji_visio   249       root   31       ???                ???       ???        ??? /dev/on2map
dji_visio   249       root   32       ???                ???       ???        ??? /dev/hx280enc_h1
dji_visio   249       root   33       ???                ???       ???        ??? /dev/ion
dji_visio   249       root   34       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   35       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   36       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   37       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   38       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   39       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   40       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   41       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   42       ???                ???       ???        ??? anon_inode:dmabuf
dji_visio   249       root   43       ???                ???       ???        ??? socket:[4104]
dji_visio   249       root   44       ???                ???       ???        ??? /dev/bulk_usb
dji_visio   249       root   45       ???                ???       ???        ??? socket:[4111]
dji_visio   249       root   46       ???                ???       ???        ??? /blackbox/flyctrl/FLY013.DAT
dji_visio   249       root  mem       ???              b3:0a         0      16426 /system/bin/dji_vision
dji_visio   249       root  mem       ???              b3:0a    737280      16426 /system/bin/dji_vision
dji_visio   249       root  mem       ???              b3:0a    749568      16426 /system/bin/dji_vision
dji_visio   249       root  mem       ???              00:0c 473513984       1955 /dev/mem
dji_visio   249       root  mem       ???              00:0c 472821760       1955 /dev/mem
dji_visio   249       root  mem       ???              00:0c 472129536       1955 /dev/mem
dji_visio   249       root  mem       ???              00:0c 471437312       1955 /dev/mem
debuggerd   250       root  exe       ???                ???       ???        ??? /system/bin/debuggerd
debuggerd   250       root    0       ???                ???       ???        ??? /dev/null
debuggerd   250       root    1       ???                ???       ???        ??? /dev/null
debuggerd   250       root    2       ???                ???       ???        ??? /dev/null
debuggerd   250       root    3       ???                ???       ???        ??? socket:[3298]
debuggerd   250       root    4       ???                ???       ???        ??? /dev/log/main
debuggerd   250       root    5       ???                ???       ???        ??? /dev/log/radio
debuggerd   250       root    6       ???                ???       ???        ??? /dev/log/events
debuggerd   250       root    7       ???                ???       ???        ??? /dev/log/system
debuggerd   250       root    8       ???                ???       ???        ??? /dev/__properties__
debuggerd   250       root  mem       ???              00:0c         0       1947 /dev/__properties__
debuggerd   250       root  mem       ???              b3:0a         0      49272 /system/lib/libselinux.so
logcat      296       root  exe       ???                ???       ???        ??? /system/bin/logcat
logcat      296       root    0       ???                ???       ???        ??? /dev/null
logcat      296       root    1       ???                ???       ???        ??? pipe:[2696]
logcat      296       root    2       ???                ???       ???        ??? /dev/null
logcat      296       root    3       ???                ???       ???        ??? /dev/log/main
logcat      296       root    4       ???                ???       ???        ??? /dev/log/system
logcat      296       root    8       ???                ???       ???        ??? /dev/__properties__
logcat      296       root  mem       ???              00:0c         0       1947 /dev/__properties__
logcat      296       root  mem       ???              b3:0a         0      49250 /system/lib/libm.so
logcat      296       root  mem       ???              b3:0a     98304      49250 /system/lib/libm.so
logcat      296       root  mem       ???              b3:0a    102400      49250 /system/lib/libm.so
logcat      296       root  mem       ???              b3:0a         0      49282 /system/lib/libstdc++.so
logcat      296       root  mem       ???              b3:0a         0      49282 /system/lib/libstdc++.so
logcat      296       root  mem       ???              b3:0a      4096      49282 /system/lib/libstdc++.so
logcat      296       root  mem       ???              b3:0a         0      49188 /system/lib/libc.so
grep        297       root  exe       ???                ???       ???        ??? /system/bin/toolbox
grep        297       root    0       ???                ???       ???        ??? pipe:[2696]
grep        297       root    1       ???                ???       ???        ??? /data/dji/log/upgrade00.log
grep        297       root    2       ???                ???       ???        ??? /dev/null
grep        297       root    8       ???                ???       ???        ??? /dev/__properties__
grep        297       root  mem       ???              00:0c         0       1947 /dev/__properties__
grep        297       root  mem       ???              b3:0a         0      49272 /system/lib/libselinux.so
sh          325       root  exe       ???                ???       ???        ??? /system/bin/mksh
sh          325       root    0       ???                ???       ???        ??? /dev/null
sh          325       root    1       ???                ???       ???        ??? /dev/null
sh          325       root    2       ???                ???       ???        ??? /dev/null
sh          325       root    8       ???                ???       ???        ??? /dev/__properties__
sh          325       root   10       ???                ???       ???        ??? /system/bin/config_soc_pwm0_for_xw607.sh
sh          325       root  mem       ???              00:0c         0       1947 /dev/__properties__
sh          325       root  mem       ???              b3:0a         0      49188 /system/lib/libc.so
logcat      417       root  exe       ???                ???       ???        ??? /system/bin/logcat
logcat      417       root    0       ???                ???       ???        ??? /dev/null
logcat      417       root    1       ???                ???       ???        ??? /dev/null
logcat      417       root    2       ???                ???       ???        ??? /dev/null
logcat      417       root    3       ???                ???       ???        ??? /data/dji/log/fatal.log
logcat      417       root    4       ???                ???       ???        ??? /dev/log/main
logcat      417       root    5       ???                ???       ???        ??? /dev/log/system
logcat      417       root    8       ???                ???       ???        ??? /dev/__properties__
logcat      417       root  mem       ???              00:0c         0       1947 /dev/__properties__
